Standard,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
1,Ragnar Ache,de GER,FW,Köln,27-266,1998,19.1,7,52,22,42.3,2.72,1.15,0.13,0.32,0,0,Matches
2,Junior Adamu,at AUT,FW,Freiburg,24-318,2001,5,1,8,3,37.5,1.61,0.61,0.13,0.33,0,0,Matches
3,Karim Adeyemi,de GER,"MF,FW",Dortmund,24-092,2002,13,7,31,14,45.2,2.38,1.08,0.23,0.5,0,0,Matches
4,Jonas Adjetey,gh GHA,DF,Wolfsburg,22-128,2003,1.5,0,3,0,0,1.97,0,0,,0,0,Matches
5,Dapo Afolayan,eng ENG,MF,St Pauli,28-221,1997,1.7,0,4,2,50,2.4,1.2,0,0,0,0,Matches
6,Felix Agu,ng NGA,"DF,MF",Werder Bremen,26-205,1999,8.3,0,2,1,50,0.24,0.12,0,0,0,0,Matches
7,Kevin Akpoguma,ng NGA,DF,Hoffenheim,31-001,1995,0.5,0,0,0,,0,0,,,0,0,Matches
8,Skelly Alvero,fr FRA,MF,Werder Bremen,23-351,2002,0.4,0,0,0,,0,0,,,0,0,Matches
9,Ayoube Amaimouni Echghouyab,ma MAR,"MF,FW",Eintracht Frankfurt,21-141,2004,5.8,2,12,7,58.3,2.08,1.22,0.17,0.29,0,0,Matches
10,Aurele Amenda,ch SUI,DF,Eintracht Frankfurt,22-263,2003,14.7,0,8,1,12.5,0.54,0.07,0,0,0,0,Matches
11,Nadiem Amiri,de GER,MF,Mainz 05,29-175,1996,19.6,11,41,17,41.5,2.09,0.87,0.07,0.18,8,8,Matches
12,Mohamed Amoura,dz ALG,"FW,MF",Wolfsburg,25-346,2000,20.5,8,57,17,29.8,2.78,0.83,0.12,0.41,1,1,Matches
13,Tomoya Ando,jp JPN,DF,St Pauli,27-100,1999,10,0,6,2,33.3,0.6,0.2,0,0,0,0,Matches
14,Robert Andrich,de GER,"DF,MF",Leverkusen,31-210,1994,24.6,2,10,3,30,0.41,0.12,0.2,0.67,0,0,Matches
15,Ilyas Ansah,de GER,"MF,FW",Union Berlin,21-163,2004,18.7,5,30,10,33.3,1.61,0.54,0.17,0.5,0,0,Matches
16,Aaron Anselmino,ar ARG,DF,Dortmund,20-356,2005,4.1,1,1,1,100,0.24,0.24,1,1,0,0,Matches
17,Waldemar Anton,de GER,DF,Dortmund,29-274,1996,28,2,15,6,40,0.54,0.21,0.13,0.33,0,0,Matches
18,Jeremy Arévalo,ec ECU,FW,Stuttgart,21-032,2005,0.4,0,3,1,33.3,7.11,2.37,0,0,0,0,Matches
19,Maximilian Arnold,de GER,MF,Wolfsburg,31-328,1994,20.7,1,13,5,38.5,0.63,0.24,0.08,0.2,0,0,Matches
20,Love Arrhov,se SWE,FW,Eintracht Frankfurt,17-338,2008,0.2,0,0,0,,0,0,,,0,0,Matches
21,Arthur,br BRA,MF,Leverkusen,23-034,2003,11.6,1,10,2,20,0.86,0.17,0.1,0.5,0,0,Matches
22,Fisnik Asllani,xk KVX,"FW,MF",Hoffenheim,23-255,2002,22.6,9,64,24,37.5,2.84,1.06,0.14,0.38,0,0,Matches
23,Lorenz Assignon,tg TOG,"DF,MF",Stuttgart,25-302,2000,11.3,0,12,4,33.3,1.06,0.35,0,0,0,0,Matches
24,Noah Atubolu,de GER,GK,Freiburg,23-330,2002,30,0,0,0,,0,0,,,0,0,Matches
25,Leon Avdullahu,xk KVX,MF,Hoffenheim,22-056,2004,27.5,0,13,2,15.4,0.47,0.07,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
26,Mio Backhaus,de GER,GK,Werder Bremen,22-004,2004,28,0,0,0,,0,0,,,0,0,Matches
27,Loïc Bade,fr FRA,DF,Leverkusen,26-009,2000,18.3,0,12,4,33.3,0.66,0.22,0,0,0,0,Matches
28,Johan Bakayoko,be BEL,"FW,MF",RB Leipzig,23-000,2003,8.4,2,21,8,38.1,2.51,0.95,0.1,0.25,0,0,Matches
29,Ridle Baku,de GER,DF,RB Leipzig,28-012,1998,24.7,1,27,5,18.5,1.1,0.2,0.04,0.2,0,0,Matches
30,Fabio Baldé,pt POR,"FW,MF",Hamburger SV,20-274,2005,4.5,0,6,3,50,1.32,0.66,0,0,0,0,Matches
31,Noahkai Banks,us USA,DF,Augsburg,19-140,2006,18.8,1,9,5,55.6,0.48,0.27,0.11,0.2,0,0,Matches
32,Ezechiel Banzuzi,nl NED,MF,RB Leipzig,21-063,2005,6.6,0,15,4,26.7,2.26,0.6,0,0,0,0,Matches
33,Michy Batshuayi,be BEL,FW,Eintracht Frankfurt,32-200,1993,1.5,1,5,1,20,3.24,0.65,0,0,1,1,Matches
34,Daniel Batz,de GER,GK,Mainz 05,35-098,1991,18,0,0,0,,0,0,,,0,0,Matches
35,Elias Baum,de GER,DF,Eintracht Frankfurt,20-176,2005,0.8,0,0,0,,0,0,,,0,0,Matches
36,Oliver Baumann,de GER,GK,Hoffenheim,35-322,1990,30,0,0,0,,0,0,,,0,0,Matches
37,Christoph Baumgartner,at AUT,MF,RB Leipzig,26-262,1999,26.9,12,68,29,42.6,2.53,1.08,0.18,0.41,0,1,Matches
38,Ihlas Bebou,tg TOG,"FW,MF",Hoffenheim,31-362,1994,2.1,0,5,2,40,2.37,0.95,0,0,0,0,Matches
39,Adrian Beck,de GER,MF,Heidenheim,28-315,1997,8.8,1,10,4,40,1.13,0.45,0.1,0.25,0,0,Matches
40,Sheraldo Becker,sr SUR,FW,Mainz 05,31-070,1995,7.2,1,18,8,44.4,2.5,1.11,0.06,0.13,0,0,Matches
41,Hannes Behrens,de GER,"DF,MF",Heidenheim,21-091,2005,10.6,1,6,3,50,0.56,0.28,0.17,0.33,0,0,Matches
42,Maximilian Beier,de GER,"MF,FW",Dortmund,23-185,2002,19.1,8,46,19,41.3,2.41,0.99,0.17,0.42,0,0,Matches
43,Stefan Bell,de GER,DF,Mainz 05,34-239,1991,11.5,2,12,5,41.7,1.04,0.43,0.17,0.4,0,0,Matches
44,Jobe Bellingham,eng ENG,MF,Dortmund,20-209,2005,16.3,0,14,4,28.6,0.86,0.25,0,0,0,0,Matches
45,Jeanuël Belocian,fr FRA,DF,Leverkusen,21-062,2005,3.2,0,1,0,0,0.31,0,0,,0,0,Matches
46,Jeanuël Belocian,fr FRA,"DF,MF",Wolfsburg,21-062,2005,9.9,0,2,0,0,0.2,0,0,,0,0,Matches
47,Eliesse Ben Seghir,ma MAR,MF,Leverkusen,21-063,2005,2.2,0,4,1,25,1.81,0.45,0,0,0,0,Matches
48,Ramy Bensebaini,dz ALG,DF,Dortmund,31-004,1995,16,4,15,6,40,0.94,0.37,0.13,0.33,2,2,Matches
49,Bernardo,br BRA,DF,Hoffenheim,30-341,1995,22.6,0,8,0,0,0.35,0,0,,0,0,Matches
50,Jan-Niklas Beste,de GER,MF,Freiburg,27-106,1999,16.4,1,22,12,54.5,1.34,0.73,0.05,0.08,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
51,Tom Bischof,de GER,"DF,MF",Bayern Munich,20-296,2005,12.5,2,27,7,25.9,2.17,0.56,0.07,0.29,0,0,Matches
52,Leonardo Bittencourt,de GER,MF,Werder Bremen,32-122,1993,6.8,0,7,0,0,1.03,0,0,,0,0,Matches
53,Janis Blaswich,de GER,GK,Leverkusen,34-353,1991,9.3,0,0,0,,0,0,,,0,0,Matches
