Standard,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
1,Mukhamedali Abish,kz KAZ,MF,kz FC Kairat,18-180,2007,0.1,0,1,0,0,8.18,0,0,,0,0,Matches
2,Francesco Acerbi,it ITA,DF,it Inter,38-069,1988,4.3,0,1,0,0,0.23,0,0,,0,0,Matches
3,Joshua Acheampong,eng ENG,DF,eng Chelsea,19-350,2006,2.2,0,1,1,100,0.46,0.46,0,0,0,0,Matches
4,Elias Achouri,tn TUN,MF,dk FC Copenhagen,27-069,1999,4.7,1,5,1,20,1.06,0.21,0.2,1,0,0,Matches
5,Tosin Adarabioyo,eng ENG,DF,eng Chelsea,28-208,1997,2.9,0,0,0,,0,0,,,0,0,Matches
6,Emmanuel Addai,gh GHA,MF,az Qarabağ,24-262,2001,4,1,11,5,45.5,2.78,1.26,0.09,0.2,0,0,Matches
7,Karim Adeyemi,de GER,MF,de Dortmund,24-092,2002,5.3,3,12,5,41.7,2.28,0.95,0.25,0.6,0,0,Matches
8,Simon Adingra,ci CIV,MF,fr Monaco,24-109,2002,1,0,3,1,33.3,3.14,1.05,0,0,0,0,Matches
9,Vasilije Adžić,me MNE,MF,it Juventus,19-343,2006,2.1,0,3,1,33.3,1.41,0.47,0,0,0,0,Matches
10,Nayef Aguerd,ma MAR,DF,fr Marseille,30-021,1996,5,0,1,0,0,0.2,0,0,,0,0,Matches
11,Honest Ahanor,it ITA,DF,it Atalanta,18-056,2008,4.1,0,2,1,50,0.48,0.24,0,0,0,0,Matches
12,Rayan Aït-Nouri,dz ALG,DF,eng Manchester City,24-318,2001,3.8,0,3,2,66.7,0.79,0.53,0,0,0,0,Matches
13,Manuel Akanji,ch SUI,DF,it Inter,30-275,1995,7.9,0,5,2,40,0.63,0.25,0,0,0,0,Matches
14,Nathan Aké,nl NED,DF,eng Manchester City,31-061,1995,2.7,0,2,2,100,0.75,0.75,0,0,0,0,Matches
15,Yunus Akgün,tr TUR,"MF,FW",tr Galatasaray,25-287,2000,5,2,10,5,50,2,1,0.2,0.4,0,0,Matches
16,Ilias Akhomach,ma MAR,MF,es Villarreal,22-004,2004,0.9,0,0,0,,0,0,,,0,0,Matches
17,Maghnes Akliouche,fr FRA,"MF,FW",fr Monaco,24-054,2002,9.2,1,26,11,42.3,2.81,1.19,0.04,0.09,0,1,Matches
18,David Alaba,at AUT,DF,es Real Madrid,33-300,1992,1.3,0,0,0,,0,0,,,0,0,Matches
