Standard,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
1,Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,20-098,2006,7.1,2,16,4,25,2.26,0.56,0.13,0.5,0,0,Matches
2,Tay Abed,il ISR,MF,Levante,22-043,2004,0.4,0,0,0,,0,0,,,0,0,Matches
3,Abdel Abqar,ma MAR,DF,Getafe,27-041,1999,11.9,0,7,1,14.3,0.59,0.08,0,0,0,0,Matches
4,Akor Adams,ng NGA,FW,Sevilla,26-081,2000,19.5,8,54,27,50,2.77,1.39,0.09,0.19,3,3,Matches
5,David Affengruber,at AUT,DF,Elche,25-032,2001,26.1,0,8,2,25,0.31,0.08,0,0,0,0,Matches
6,Julen Agirrezabala,es ESP,GK,Valencia,25-115,2000,18,0,0,0,,0,0,,,0,0,Matches
7,Lucien Agoume,fr FRA,MF,Sevilla,24-070,2002,23.9,1,12,2,16.7,0.5,0.08,0.08,0.5,0,0,Matches
8,Diego Aguado,es ESP,DF,Real Madrid,19-072,2007,0.3,0,0,0,,0,0,,,0,0,Matches
9,Marc Aguado,es ESP,MF,Elche,26-057,2000,22.3,1,2,1,50,0.09,0.04,0.5,1,0,0,Matches
10,Pablo Agudín,es ESP,MF,Oviedo,18-163,2007,0.9,0,2,0,0,2.34,0,0,,0,0,Matches
11,Ibai Aguirre,es ESP,MF,Real Sociedad,19-100,2007,0.1,0,0,0,,0,0,,,0,0,Matches
12,Lucas Ahijado,es ESP,DF,Oviedo,31-080,1995,10.8,0,8,2,25,0.74,0.19,0,0,0,0,Matches
13,Joseph Aidoo,gh GHA,DF,Celta Vigo,30-203,1995,7.1,0,2,0,0,0.28,0,0,,0,0,Matches
14,Ilias Akhomach,ma MAR,"MF,FW",Rayo Vallecano,22-004,2004,6.5,0,14,4,28.6,2.15,0.61,0,0,0,0,Matches
15,Ilias Akhomach,ma MAR,MF,Villarreal,22-004,2004,2.1,0,6,2,33.3,2.87,0.96,0,0,0,0,Matches
16,David Alaba,at AUT,DF,Real Madrid,33-300,1992,2.7,0,3,1,33.3,1.09,0.36,0,0,0,0,Matches
17,Alexandre Alemão,br BRA,FW,Rayo Vallecano,28-019,1998,8.9,1,15,6,40,1.69,0.68,0.07,0.17,0,0,Matches
18,Carles Aleñá,es ESP,MF,Alavés,28-105,1998,20.8,0,26,5,19.2,1.25,0.24,0,0,0,0,Matches
19,Trent Alexander-Arnold,eng ENG,"DF,MF",Real Madrid,27-195,1998,8.4,0,6,1,16.7,0.72,0.12,0,0,0,0,Matches
20,Alfon,es ESP,MF,Sevilla,26-351,1999,3.5,1,11,7,63.6,3.17,2.02,0.09,0.14,0,0,Matches
21,Alfon,es ESP,MF,Villarreal,26-351,1999,1.7,1,4,1,25,2.38,0.6,0.25,1,0,0,Matches
22,Thiago Almada,ar ARG,MF,Atlético Madrid,24-359,2001,12.1,3,19,10,52.6,1.57,0.83,0.16,0.3,0,0,Matches
23,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,25-325,2000,11.1,0,9,3,33.3,0.81,0.27,0,0,0,0,Matches
24,Marcos Alonso,es ESP,DF,Celta Vigo,35-113,1990,24.9,1,21,3,14.3,0.84,0.12,0,0,1,1,Matches
25,Adrià Altimira,es ESP,"DF,MF",Villarreal,25-023,2001,0.1,0,0,0,,0,0,,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
26,Sergi Altimira,es ESP,MF,Real Betis,24-238,2001,12.3,1,5,2,40,0.41,0.16,0.2,0.5,0,0,Matches
