Standard,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
1,Himad Abdelli,dz ALG,MF,Marseille,26-154,1999,1.4,0,4,1,25,2.81,0.7,0,0,0,0,Matches
2,Himad Abdelli,dz ALG,MF,Angers,26-154,1999,10.5,2,11,5,45.5,1.05,0.48,0,0,2,2,Matches
3,Ali Abdi,tn TUN,"MF,DF",Nice,32-121,1993,11.5,2,9,2,22.2,0.78,0.17,0.22,1,0,0,Matches
4,Salis Abdul Samed,gh GHA,MF,Nice,26-025,2000,8.4,0,1,0,0,0.12,0,0,,0,0,Matches
5,Saud Abdulhamid,sa KSA,MF,Lens,26-276,1999,13.2,2,7,3,42.9,0.53,0.23,0.29,0.67,0,0,Matches
6,Laurent Abergel,fr FRA,MF,Lorient,33-078,1993,22.3,1,20,5,25,0.9,0.22,0.05,0.2,0,0,Matches
7,Matthis Abline,fr FRA,"FW,MF",Nantes,23-023,2003,24,5,69,18,26.1,2.88,0.75,0.07,0.28,0,1,Matches
8,Abner,br BRA,"DF,MF",Lyon,25-328,2000,19.9,3,15,6,40,0.75,0.3,0.2,0.5,0,0,Matches
9,Francis Abu,gh GHA,MF,Toulouse,24-358,2001,5.8,0,6,0,0,1.03,0,0,,0,0,Matches
10,Giorgi Abuashvili,ge GEO,"MF,FW",Metz,23-071,2003,6.1,2,16,6,37.5,2.63,0.99,0.13,0.33,0,0,Matches
11,Mathieu Acapandié,mg MAD,DF,Nantes,21-127,2004,0.2,0,0,0,,0,0,,,0,0,Matches
12,Simon Adingra,ci CIV,"MF,FW",Monaco,24-109,2002,6.5,3,15,4,26.7,2.32,0.62,0.2,0.75,0,0,Matches
13,Nathaniel Adjei,gh GHA,DF,Lorient,23-242,2002,5.5,0,1,0,0,0.18,0,0,,0,0,Matches
14,Nayef Aguerd,ma MAR,DF,Marseille,30-021,1996,15.5,1,10,2,20,0.64,0.13,0.1,0.5,0,0,Matches
15,Ruben Aguilar,fr FRA,MF,Lens,32-359,1993,16.7,2,13,3,23.1,0.78,0.18,0.15,0.67,0,0,Matches
16,Naouirou Ahamada,fr FRA,MF,Auxerre,24-022,2002,4.5,0,4,0,0,0.88,0,0,,0,0,Matches
17,Abdelhamid Ait Boudlal,ma MAR,DF,Rennes,20-004,2006,11.6,2,8,3,37.5,0.69,0.26,0.25,0.67,0,0,Matches
18,Tosin Aiyegun,bj BEN,"MF,FW",Lorient,27-298,1998,10.4,4,25,10,40,2.41,0.96,0.16,0.4,0,1,Matches
19,Ludovic Ajorque,fr FRA,FW,Brest,32-054,1994,26.3,7,45,15,33.3,1.71,0.57,0.16,0.47,0,0,Matches
20,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,24-054,2002,23.1,6,43,16,37.2,1.86,0.69,0.14,0.38,0,0,Matches
21,Clément Akpa,ci CIV,DF,Auxerre,24-147,2001,20.2,0,6,0,0,0.3,0,0,,0,0,Matches
22,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,22-091,2004,15.7,4,25,12,48,1.59,0.77,0.16,0.33,0,0,Matches
23,Jim Allevinah,ga GAB,MF,Angers,31-052,1995,1.5,1,5,1,20,3.38,0.68,0.2,1,0,0,Matches
24,Kelvin Amian,fr FRA,DF,Nantes,28-071,1998,21.8,0,10,2,20,0.46,0.09,0,0,0,0,Matches
25,Mohamed Amine Sbai,fr FRA,"MF,FW",Angers,25-166,2000,18,2,30,14,46.7,1.67,0.78,0.07,0.14,0,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
26,Michael Amir Murillo,pa PAN,"DF,MF",Marseille,30-068,1996,11,2,9,2,22.2,0.82,0.18,0.22,1,0,0,Matches
