Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
1,José Abella,mx MEX,DF,Atlas,29,1994,17,0,7,3,42.9,0.41,0.18,0,0,0,0,Matches
2,José Abella,mx MEX,"DF,MF",FC Juárez,29,1994,10.4,0,5,3,60,0.48,0.29,0,0,0,0,Matches
3,Diego Abitia,mx MEX,FW,Atlético San Luis,20,2003,0,0,0,0,,0,0,,,0,0,Matches
4,Carlos Acevedo,mx MEX,GK,Santos Laguna,27,1996,22.3,0,0,0,,0,0,,,0,0,Matches
5,Alonso Aceves,mx MEX,DF,Pachuca,22,2001,3.4,1,2,1,50,0.58,0.29,0.5,1,0,0,Matches
6,Sergio Adrián Flores,mx MEX,MF,Mazatlán,28,1995,20.1,0,5,2,40,0.25,0.1,0,0,0,0,Matches
7,Sergio Aguayo,us USA,FW,Pachuca,20,2002,2.8,0,6,2,33.3,2.17,0.72,0,0,0,0,Matches
8,Eduardo Águila,mx MEX,DF,Atlético San Luis,21,2002,2.2,0,2,0,0,0.89,0,0,,0,0,Matches
9,Daniel Aguilar,mx MEX,DF,Puebla,25,1998,2.6,0,6,3,50,2.27,1.13,0,0,0,0,Matches
10,Eduardo Aguirre,mx MEX,"FW,MF",Atlas,24,1998,17.8,7,47,15,31.9,2.65,0.84,0.13,0.4,1,1,Matches
11,Érick Aguirre,mx MEX,DF,Monterrey,26,1997,16.7,0,4,0,0,0.24,0,0,,0,0,Matches
12,Gaddi Aguirre,mx MEX,DF,Atlas,27,1996,16.2,0,13,1,7.7,0.8,0.06,0,0,0,0,Matches
13,Rodrigo Aguirre,uy URU,"FW,MF",Monterrey,28,1994,5.4,0,16,6,37.5,2.95,1.11,0,0,0,0,Matches
14,Jorge Agustín Rodríguez,ar ARG,MF,Monterrey,27,1995,12.6,0,7,1,14.3,0.56,0.08,0,0,0,0,Matches
15,Arnaud Ake,ci CIV,FW,Mazatlán,25,1998,5.9,6,13,8,61.5,2.2,1.35,0.46,0.75,0,0,Matches
16,Arnaud Ake,ci CIV,FW,Tijuana,25,1998,1.5,0,3,2,66.7,2,1.33,0,0,0,0,Matches
17,Jesús Alberto Angulo,mx MEX,DF,UANL,25,1998,28.7,2,18,5,27.8,0.63,0.17,0.11,0.4,0,0,Matches
18,Jesús Alcantar,mx MEX,DF,Necaxa,20,2003,1,0,0,0,,0,0,,,0,0,Matches
19,Adrián Aldrete,mx MEX,DF,UNAM,35,1988,19.3,0,6,2,33.3,0.31,0.1,0,0,0,0,Matches
20,Daniel Alexis Parra,mx MEX,DF,Monterrey,24,1999,1,0,4,1,25,4,1,0,0,0,0,Matches
